qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
7810,1002,825,210,20,11,81783,81669,
7811,1002,845,3,35,12,81813,81732,
7812,1002,4,1,14,13,81850,82568,
7813,1002,807,4,27,14,81801,,
7814,1002,817,9,3,15,81280,,
7815,1002,815,10,11,16,81888,,
7816,1002,844,15,16,17,81889,,
7817,1002,843,5,28,18,81934,,
7818,1002,828,15,9,19,82048,,
7819,1002,838,1,2,20,82085,,
7820,1003,1,131,44,1,99403,97344,96015
7821,1003,830,9,33,2,98751,97214,96334
7822,1003,20,6,5,3,98218,97876,96628
7823,1003,822,131,77,4,99291,97254,96702
7824,1003,8,6,7,5,98534,97194,96794
7825,1003,817,9,3,6,98153,97406,96996
7826,1003,815,10,11,7,98814,98342,97985
7827,1003,154,210,8,8,98685,98367,98320
7828,1003,839,10,31,9,98912,98534,98365
7829,1003,807,4,27,10,98932,98450,98588
7830,1003,4,1,14,11,99022,98641,
7831,1003,832,4,55,12,99103,98716,
7832,1003,844,15,16,13,99206,98747,
7833,1003,828,15,9,14,99366,99453,
7834,1003,842,5,10,15,99614,99691,
7835,1003,825,210,20,16,99644,,
7836,1003,843,5,28,17,99809,,
7837,1003,838,1,2,18,99864,,
7838,1003,845,3,35,19,101263,,
7839,1003,840,3,18,20,101334,,
7840,1004,822,131,77,1,92964,92744,91387
7841,1004,1,131,44,2,92409,92595,91532
7842,1004,20,6,5,3,93476,93045,91943
7843,1004,8,6,7,4,93341,93065,92237
7844,1004,825,210,20,5,94078,93747,93181
7845,1004,839,10,31,6,94290,93596,93413
7846,1004,844,15,16,7,93924,93488,93419
7847,1004,815,10,11,8,94084,93923,93563
7848,1004,154,210,8,9,94022,93517,93704
7849,1004,828,15,9,10,94170,93995,95196
7850,1004,830,9,33,11,93048,,
7851,1004,817,9,3,12,93247,,
7852,1004,842,5,10,13,94383,,
7853,1004,832,4,55,14,94626,,
7854,1004,807,4,27,15,94655,,
7855,1004,843,5,28,16,95037,,
7856,1004,4,1,14,17,95504,,
7857,1004,845,3,35,18,95612,,
7858,1004,838,1,2,19,95977,,
7859,1004,840,3,28,20,96437,,
7860,1005,1,131,44,1,88702,88017,87760
7861,1005,822,131,77,2,89297,87987,88059
7862,1005,830,9,33,3,89480,88849,89057
7863,1005,8,6,7,4,89631,88595,89521
7864,1005,154,210,8,5,89724,89678,89761
7865,1005,843,5,28,6,90248,89848,90023
7866,1005,842,5,10,7,90137,89810,90093
7867,1005,839,10,31,8,89899,89538,90126
7868,1005,20,6,5,9,89049,88279,92192
7869,1005,815,10,11,10,90247,89567,97229
7870,1005,844,15,16,11,89706,89864,
7871,1005,825,210,20,12,90219,90226,
7872,1005,832,4,55,13,90236,90490,
7873,1005,840,3,18,14,90317,90714,
7874,1005,817,9,3,15,89806,,
7875,1005,807,4,27,16,90361,,
7876,1005,845,3,35,17,90372,,
7877,1005,4,1,14,18,90573,,
7878,1005,838,1,2,19,91041,,
7879,1005,828,15,9,20,91213,,
7880,1006,1,131,44,1,94130,93480,92237
7881,1006,20,6,5,2,94569,93079,92298
7882,1006,8,6,7,3,94703,92884,92307
7883,1006,822,131,77,4,94518,93702,92616
7884,1006,817,9,3,5,94755,94185,93494
7885,1006,839,10,31,6,94876,94522,94145
7886,1006,807,4,27,7,94932,94564,94215
7887,1006,154,210,8,8,94892,94419,94250
7888,1006,844,15,16,9,95069,94255,94420
7889,1006,815,10,11,10,95193,94525,94594
7890,1006,832,4,55,11,94891,94566,
7891,1006,825,210,20,12,94972,94732,
7892,1006,842,5,10,13,94850,,
7893,1006,843,5,28,14,95206,,
7894,1006,830,9,33,15,94766,,
7895,1006,4,1,14,16,95294,,
7896,1006,845,3,35,17,95362,,
7897,1006,840,3,18,18,95480,,
7898,1006,828,15,9,19,95536,,
7899,1006,838,1,2,20,95735,,
7900,1007,817,9,3,1,75866,75845,74759
7901,1007,830,9,33,2,75756,75640,74785
7902,1007,1,131,44,3,75673,75644,74894
7903,1007,20,6,5,4,76088,75715,74970
7904,1007,822,131,77,5,75580,75923,75160
7905,1007,8,6,7,6,76446,75996,75330
7906,1007,807,4,27,7,76498,76126,75827
7907,1007,832,4,55,8,76813,76187,76084
7908,1007,844,15,16,9,76862,76320,76189
7909,1007,828,15,9,10,76701,76633,76513
7910,1007,839,10,31,11,76251,76844,
7911,1007,815,10,11,13,76242,77167,
7912,1007,843,5,28,14,76682,77184,
7913,1007,842,5,10,15,76828,,
7914,1007,154,210,8,16,76911,,
7915,1007,838,1,2,17,76966,,
7916,1007,825,210,20,18,77599,,
7917,1007,840,3,18,19,77689,,
7918,1007,845,3,35,20,77886,,
7919,1007,4,1,14,12,76857,76871,
7920,1008,1,131,44,1,68464,67795,67281
7921,1008,20,6,5,2,68452,67776,67374
